T,N,M,Classification,DescY,DescR,DescM,Grade,Stage
T1,N0,M0,ANY,ANY,ANY,ANY,GX,IA
T2,N0,M0,ANY,ANY,ANY,ANY,GX,IB
T3,N0,M0,ANY,ANY,ANY,ANY,GX,IB
T1,N0,M0,ANY,ANY,ANY,ANY,G1,IA
T2,N0,M0,ANY,ANY,ANY,ANY,G1,IB
T3,N0,M0,ANY,ANY,ANY,ANY,G1,IB
T1,N0,M0,ANY,ANY,ANY,ANY,G2,IIA
T2,N0,M0,ANY,ANY,ANY,ANY,G2,IIB
T3,N0,M0,ANY,ANY,ANY,ANY,G2,III
T1,N0,M0,ANY,ANY,ANY,ANY,G3,IIA
T2,N0,M0,ANY,ANY,ANY,ANY,G3,IIB
T3,N0,M0,ANY,ANY,ANY,ANY,G3,III
ANY,N0,M1a,ANY,ANY,ANY,ANY,ANY,IVA
ANY,N1,ANY,ANY,ANY,ANY,ANY,ANY,IVB
ANY,ANY,M1b,ANY,ANY,ANY,ANY,ANY,IVB
