T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IVB
T4,ANY,M0,ANY,ANY,ANY,ANY,IVA
T1,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T1,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T1,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T1a,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T1a,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T1a,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T1b,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T1b,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T1b,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T2,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T2,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T2,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T3,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T3,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T3,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T3a,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T3a,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T3a,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T3b,N1,M0,ANY,ANY,ANY,ANY,IIIC1
T3b,N1mi,M0,ANY,ANY,ANY,ANY,IIIC1
T3b,N1a,M0,ANY,ANY,ANY,ANY,IIIC1
T1,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T1,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T1,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T1a,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T1a,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T1a,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T1b,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T1b,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T1b,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T2,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T2,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T2,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T3,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T3,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T3,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T3a,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T3a,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T3a,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T3b,N2,M0,ANY,ANY,ANY,ANY,IIIC2
T3b,N2mi,M0,ANY,ANY,ANY,ANY,IIIC2
T3b,N2a,M0,ANY,ANY,ANY,ANY,IIIC2
T3b,N0,M0,ANY,ANY,ANY,ANY,IIIB
T3b,N0(i+),M0,ANY,ANY,ANY,ANY,IIIB
T3a,N0,M0,ANY,ANY,ANY,ANY,IIIA
T3a,N0(i+),M0,ANY,ANY,ANY,ANY,IIIA
T3,N0,M0,ANY,ANY,ANY,ANY,III
T3,N0(i+),M0,ANY,ANY,ANY,ANY,III
T2,N0,M0,ANY,ANY,ANY,ANY,II
T2,N0(i+),M0,ANY,ANY,ANY,ANY,II
T1b,N0,M0,ANY,ANY,ANY,ANY,IB
T1b,N0(i+),M0,ANY,ANY,ANY,ANY,IB
T1a,N0,M0,ANY,ANY,ANY,ANY,IA
T1a,N0(i+),M0,ANY,ANY,ANY,ANY,IA
T1,N0,M0,ANY,ANY,ANY,ANY,I
T1,N0(i+),M0,ANY,ANY,ANY,ANY,I
