T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IVC
T4b,ANY,M0,ANY,ANY,ANY,ANY,IVB
ANY,N3,M0,ANY,ANY,ANY,ANY,IVB
ANY,N3a,M0,ANY,ANY,ANY,ANY,IVB
ANY,N3b,M0,ANY,ANY,ANY,ANY,IVB
T4a,N0,M0,ANY,ANY,ANY,ANY,IVA
T4a,N1,M0,ANY,ANY,ANY,ANY,IVA
T1,N2,M0,ANY,ANY,ANY,ANY,IVA
T1a,N2,M0,ANY,ANY,ANY,ANY,IVA
T1b,N2,M0,ANY,ANY,ANY,ANY,IVA
T2,N2,M0,ANY,ANY,ANY,ANY,IVA
T3,N2,M0,ANY,ANY,ANY,ANY,IVA
T4a,N2,M0,ANY,ANY,ANY,ANY,IVA
T1,N2a,M0,ANY,ANY,ANY,ANY,IVA
T1a,N2a,M0,ANY,ANY,ANY,ANY,IVA
T1b,N2a,M0,ANY,ANY,ANY,ANY,IVA
T2,N2a,M0,ANY,ANY,ANY,ANY,IVA
T3,N2a,M0,ANY,ANY,ANY,ANY,IVA
T4a,N2a,M0,ANY,ANY,ANY,ANY,IVA
T1,N2b,M0,ANY,ANY,ANY,ANY,IVA
T1a,N2b,M0,ANY,ANY,ANY,ANY,IVA
T1b,N2b,M0,ANY,ANY,ANY,ANY,IVA
T2,N2b,M0,ANY,ANY,ANY,ANY,IVA
T3,N2b,M0,ANY,ANY,ANY,ANY,IVA
T4a,N2b,M0,ANY,ANY,ANY,ANY,IVA
T1,N2c,M0,ANY,ANY,ANY,ANY,IVA
T1a,N2c,M0,ANY,ANY,ANY,ANY,IVA
T1b,N2c,M0,ANY,ANY,ANY,ANY,IVA
T2,N2c,M0,ANY,ANY,ANY,ANY,IVA
T3,N2c,M0,ANY,ANY,ANY,ANY,IVA
T4a,N2c,M0,ANY,ANY,ANY,ANY,IVA
T3,N0,M0,ANY,ANY,ANY,ANY,III
T1,N1,M0,ANY,ANY,ANY,ANY,III
T1a,N1,M0,ANY,ANY,ANY,ANY,III
T1b,N1,M0,ANY,ANY,ANY,ANY,III
T2,N1,M0,ANY,ANY,ANY,ANY,III
T3,N1,M0,ANY,ANY,ANY,ANY,III
T2,N0,M0,ANY,ANY,ANY,ANY,II
T1,N0,M0,ANY,ANY,ANY,ANY,I
T1a,N0,M0,ANY,ANY,ANY,ANY,I
T1b,N0,M0,ANY,ANY,ANY,ANY,I
Tis,N0,M0,ANY,ANY,ANY,ANY,0
