T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
T4,ANY,M0,ANY,ANY,ANY,ANY,III
ANY,N2,M0,ANY,ANY,ANY,ANY,III
T3,N1,M0,ANY,ANY,ANY,ANY,IIB
T1,N1,M0,ANY,ANY,ANY,ANY,IIB
T1a,N1,M0,ANY,ANY,ANY,ANY,IIB
T1b,N1,M0,ANY,ANY,ANY,ANY,IIB
T1c,N1,M0,ANY,ANY,ANY,ANY,IIB
T2,N1,M0,ANY,ANY,ANY,ANY,IIB
T3,N0,M0,ANY,ANY,ANY,ANY,IIA
T2,N0,M0,ANY,ANY,ANY,ANY,IB
T1,N0,M0,ANY,ANY,ANY,ANY,IA
T1a,N0,M0,ANY,ANY,ANY,ANY,IA
T1b,N0,M0,ANY,ANY,ANY,ANY,IA
T1c,N0,M0,ANY,ANY,ANY,ANY,IA
Tis,N0,M0,ANY,ANY,ANY,ANY,0
