T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1a,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1b,ANY,ANY,ANY,ANY,IV
ANY,ANY,M1c,ANY,ANY,ANY,ANY,IV
T1,N1a(sn),M0,p,ANY,ANY,ANY,IIIA
T1,N1a,M0,p,ANY,ANY,ANY,IIIA
T2,N1a(sn),M0,p,ANY,ANY,ANY,IIIA
T2,N1a,M0,p,ANY,ANY,ANY,IIIA
T3,N1a(sn),M0,p,ANY,ANY,ANY,IIIA
T3,N1a,M0,p,ANY,ANY,ANY,IIIA
T4,N1a(sn),M0,p,ANY,ANY,ANY,IIIA
T4,N1a,M0,p,ANY,ANY,ANY,IIIA
T0,N1b,M0,p,ANY,ANY,ANY,IIIA
ANY,N1b,M0,p,ANY,ANY,ANY,IIIB
ANY,N2,M0,p,ANY,ANY,ANY,IIIB
ANY,N3,M0,p,ANY,ANY,ANY,IIIB
ANY,N1,M0,c,ANY,ANY,ANY,III
ANY,N2,M0,c,ANY,ANY,ANY,III
ANY,N3,M0,c,ANY,ANY,ANY,III
T4,N0,M0,ANY,ANY,ANY,ANY,IIB
T2,N0,M0,ANY,ANY,ANY,ANY,IIA
T3,N0,M0,ANY,ANY,ANY,ANY,IIA
T1,N0,M0,ANY,ANY,ANY,ANY,I
Tis,N0,M0,ANY,ANY,ANY,ANY,0
