T,N,M,Classification,DescY,DescR,DescM,Grade,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,ANY,IVB
T4b,ANY,M0,ANY,ANY,ANY,ANY,ANY,IVA
ANY,N3,M0,ANY,ANY,ANY,ANY,ANY,IVA
T1,N2,M0,c,ANY,ANY,ANY,ANY,IVA
T1a,N2,M0,c,ANY,ANY,ANY,ANY,IVA
T1b,N2,M0,c,ANY,ANY,ANY,ANY,IVA
T2,N2,M0,c,ANY,ANY,ANY,ANY,IVA
T3,N2,M0,c,ANY,ANY,ANY,ANY,IVA
T4a,N2,M0,c,ANY,ANY,ANY,ANY,IVA
T2,N1,M0,c,ANY,ANY,ANY,ANY,III
T3,N0,M0,c,ANY,ANY,ANY,ANY,III
T3,N1,M0,c,ANY,ANY,ANY,ANY,III
T4a,N0,M0,c,ANY,ANY,ANY,ANY,III
T4a,N1,M0,c,ANY,ANY,ANY,ANY,III
T2,N0,M0,c,ANY,ANY,ANY,ANY,IIB
T1,N1,M0,c,ANY,ANY,ANY,ANY,IIA
T1a,N1,M0,c,ANY,ANY,ANY,ANY,IIA
T1b,N1,M0,c,ANY,ANY,ANY,ANY,IIA
T1,N0,M0,c,ANY,ANY,ANY,ANY,I
T1a,N0,M0,c,ANY,ANY,ANY,ANY,I
T1b,N0,M0,c,ANY,ANY,ANY,ANY,I
Tis,N0,M0,c,ANY,ANY,ANY,ANY,0
T4a,N2,M0,p,No,ANY,ANY,ANY,IVA
T4a,N0,M0,p,No,ANY,ANY,ANY,IIIB
T4a,N1,M0,p,No,ANY,ANY,ANY,IIIB
T3,N1,M0,p,No,ANY,ANY,ANY,IIIB
T3,N2,M0,p,No,ANY,ANY,ANY,IIIB
T2,N2,M0,p,No,ANY,ANY,ANY,IIIB
T1,N2,M0,p,No,ANY,ANY,ANY,IIIA
T1a,N2,M0,p,No,ANY,ANY,ANY,IIIA
T1b,N2,M0,p,No,ANY,ANY,ANY,IIIA
T2,N1,M0,p,No,ANY,ANY,ANY,IIIA
T1,N1,M0,p,No,ANY,ANY,ANY,IIB
T1a,N1,M0,p,No,ANY,ANY,ANY,IIB
T1b,N1,M0,p,No,ANY,ANY,ANY,IIB
T3,N0,M0,p,No,ANY,ANY,ANY,IIB
T2,N0,M0,p,No,ANY,ANY,GX,IIA
T2,N0,M0,p,No,ANY,ANY,G3,IIA
T2,N0,M0,p,No,ANY,ANY,G1,IC
T2,N0,M0,p,No,ANY,ANY,G2,IC
T1,N0,M0,p,No,ANY,ANY,G3,IC
T1a,N0,M0,p,No,ANY,ANY,G3,IC
T1b,N0,M0,p,No,ANY,ANY,G3,IC
T1a,N0,M0,p,No,ANY,ANY,G1,IA
T1a,N0,M0,p,No,ANY,ANY,GX,IA
T1a,N0,M0,p,No,ANY,ANY,G2,IB
T1b,N0,M0,p,No,ANY,ANY,G1,IB
T1b,N0,M0,p,No,ANY,ANY,G2,IB
T1b,N0,M0,p,No,ANY,ANY,GX,IB
Tis,N0,M0,p,No,ANY,ANY,ANY,0
T4a,N1,M0,p,Yes,ANY,ANY,ANY,IVA
T4a,N2,M0,p,Yes,ANY,ANY,ANY,IVA
T4a,NX,M0,p,Yes,ANY,ANY,ANY,IVA
T4a,N0,M0,p,Yes,ANY,ANY,ANY,IIIB
T0,N2,M0,p,Yes,ANY,ANY,ANY,IIIB
T1,N2,M0,p,Yes,ANY,ANY,ANY,IIIB
T1a,N2,M0,p,Yes,ANY,ANY,ANY,IIIB
T1b,N2,M0,p,Yes,ANY,ANY,ANY,IIIB
T2,N2,M0,p,Yes,ANY,ANY,ANY,IIIB
T3,N2,M0,p,Yes,ANY,ANY,ANY,IIIB
T3,N1,M0,p,Yes,ANY,ANY,ANY,IIIB
T0,N1,M0,p,Yes,ANY,ANY,ANY,IIIA
T1,N1,M0,p,Yes,ANY,ANY,ANY,IIIA
T1a,N1,M0,p,Yes,ANY,ANY,ANY,IIIA
T1b,N1,M0,p,Yes,ANY,ANY,ANY,IIIA
T2,N1,M0,p,Yes,ANY,ANY,ANY,IIIA
T3,N0,M0,p,Yes,ANY,ANY,ANY,II
T0,N0,M0,p,Yes,ANY,ANY,ANY,I
T1,N0,M0,p,Yes,ANY,ANY,ANY,I
T1a,N0,M0,p,Yes,ANY,ANY,ANY,I
T1b,N0,M0,p,Yes,ANY,ANY,ANY,I
T2,N0,M0,p,Yes,ANY,ANY,ANY,I
