T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,ANY,ANY,ANY,ANY,IV
T4,ANY,M0,ANY,ANY,ANY,ANY,IV
T4a,ANY,M0,ANY,ANY,ANY,ANY,IV
T4b,ANY,M0,ANY,ANY,ANY,ANY,IV
ANY,N3,M0,ANY,ANY,ANY,ANY,IV
ANY,N3a,M0,ANY,ANY,ANY,ANY,IV
ANY,N3b,M0,ANY,ANY,ANY,ANY,IV
T1,N2,M0,ANY,ANY,ANY,ANY,IV
T2,N2,M0,ANY,ANY,ANY,ANY,IV
T3,N2,M0,ANY,ANY,ANY,ANY,IV
T1,N2a,M0,ANY,ANY,ANY,ANY,IV
T2,N2a,M0,ANY,ANY,ANY,ANY,IV
T3,N2a,M0,ANY,ANY,ANY,ANY,IV
T1,N2b,M0,ANY,ANY,ANY,ANY,IV
T2,N2b,M0,ANY,ANY,ANY,ANY,IV
T3,N2b,M0,ANY,ANY,ANY,ANY,IV
T1,N2c,M0,ANY,ANY,ANY,ANY,IV
T2,N2c,M0,ANY,ANY,ANY,ANY,IV
T3,N2c,M0,ANY,ANY,ANY,ANY,IV
T3,N0,M0,ANY,ANY,ANY,ANY,III
T1,N1,M0,ANY,ANY,ANY,ANY,III
T2,N1,M0,ANY,ANY,ANY,ANY,III
T3,N1,M0,ANY,ANY,ANY,ANY,III
T2,N0,M0,ANY,ANY,ANY,ANY,II
T1,N0,M0,ANY,ANY,ANY,ANY,I
Tis,N0,M0,ANY,ANY,ANY,ANY,0
