T,N,M,Classification,DescY,DescR,DescM,Stage
ANY,ANY,M1,c,ANY,ANY,ANY,IVB
T4b,ANY,M0,c,ANY,ANY,ANY,IVA
Tis,N0,M0,c,ANY,ANY,ANY,0
T1,N0,M0,c,ANY,ANY,ANY,I
T2,N0,M0,c,ANY,ANY,ANY,I
T1,N1,M0,c,ANY,ANY,ANY,IIA
T1,N2,M0,c,ANY,ANY,ANY,IIA
T1,N3,M0,c,ANY,ANY,ANY,IIA
T2,N1,M0,c,ANY,ANY,ANY,IIA
T2,N2,M0,c,ANY,ANY,ANY,IIA
T2,N3,M0,c,ANY,ANY,ANY,IIA
T3,N0,M0,c,ANY,ANY,ANY,IIB
T4a,N0,M0,c,ANY,ANY,ANY,IIB
T3,N1,M0,c,ANY,ANY,ANY,III
T3,N2,M0,c,ANY,ANY,ANY,III
T3,N3,M0,c,ANY,ANY,ANY,III
T4a,N1,M0,c,ANY,ANY,ANY,III
T4a,N2,M0,c,ANY,ANY,ANY,III
T4a,N3,M0,c,ANY,ANY,ANY,III
ANY,ANY,M1,p,No,ANY,ANY,IV
Tis,N0,M0,p,No,ANY,ANY,0
T1,N0,M0,p,No,ANY,ANY,IA
T1,N1,M0,p,No,ANY,ANY,IB
T2,N0,M0,p,No,ANY,ANY,IB
T1,N2,M0,p,No,ANY,ANY,IIA
T2,N1,M0,p,No,ANY,ANY,IIA
T3,N0,M0,p,No,ANY,ANY,IIA
T1,N3a,M0,p,No,ANY,ANY,IIB
T2,N2,M0,p,No,ANY,ANY,IIB
T3,N1,M0,p,No,ANY,ANY,IIB
T4a,N0,M0,p,No,ANY,ANY,IIB
T2,N3a,M0,p,No,ANY,ANY,IIIA
T3,N2,M0,p,No,ANY,ANY,IIIA
T4a,N1,M0,p,No,ANY,ANY,IIIA
T4a,N2,M0,p,No,ANY,ANY,IIIA
T4b,N0,M0,p,No,ANY,ANY,IIIA
T1,N3b,M0,p,No,ANY,ANY,IIIB
T2,N3b,M0,p,No,ANY,ANY,IIIB
T3,N3a,M0,p,No,ANY,ANY,IIIB
T4a,N3a,M0,p,No,ANY,ANY,IIIB
T4b,N1,M0,p,No,ANY,ANY,IIIB
T4b,N2,M0,p,No,ANY,ANY,IIIB
T3,N3b,M0,p,No,ANY,ANY,IIIC
T4a,N3b,M0,p,No,ANY,ANY,IIIC
T4b,N3a,M0,p,No,ANY,ANY,IIIC
T4b,N3b,M0,p,No,ANY,ANY,IIIC
ANY,ANY,M1,p,Yes,ANY,ANY,IV
T1,N0,M0,p,Yes,ANY,ANY,I
T2,N0,M0,p,Yes,ANY,ANY,I
T1,N1,M0,p,Yes,ANY,ANY,I
T3,N0,M0,p,Yes,ANY,ANY,II
T2,N1,M0,p,Yes,ANY,ANY,II
T1,N2,M0,p,Yes,ANY,ANY,II
T4a,N0,M0,p,Yes,ANY,ANY,II
T3,N1,M0,p,Yes,ANY,ANY,II
T2,N2,M0,p,Yes,ANY,ANY,II
T1,N3,M0,p,Yes,ANY,ANY,II
T4a,N1,M0,p,Yes,ANY,ANY,III
T3,N2,M0,p,Yes,ANY,ANY,III
T2,N3,M0,p,Yes,ANY,ANY,III
T4b,N0,M0,p,Yes,ANY,ANY,III
T4b,N1,M0,p,Yes,ANY,ANY,III
T4a,N2,M0,p,Yes,ANY,ANY,III
T3,N3,M0,p,Yes,ANY,ANY,III
T4b,N2,M0,p,Yes,ANY,ANY,III
T4b,N3,M0,p,Yes,ANY,ANY,III
T4a,N3,M0,p,Yes,ANY,ANY,III
